Date,open,high,low,close,volume
2008-03-28 00:00:00+05:30,111.78,144.82,110.85,134.76,433432
2008-03-31 00:00:00+05:30,132.58,147.35,126.45,130.39,317465
2008-04-01 00:00:00+05:30,133.65,135.98,124.41,126.7,51385
2008-04-02 00:00:00+05:30,131.22,134.86,122.47,124.85,35362
2008-04-03 00:00:00+05:30,124.85,126.26,118.24,119.5,48910
2008-04-04 00:00:00+05:30,119.5,119.5,111.44,112.75,46969
2008-04-07 00:00:00+05:30,112.99,115.66,109.83,111.34,62853
2008-04-08 00:00:00+05:30,109.93,121.98,109.83,114.84,111936
2008-04-09 00:00:00+05:30,114.69,121.2,112.75,116.3,76341
2008-04-10 00:00:00+05:30,117.51,121.98,111.97,113.48,212784
2008-04-11 00:00:00+05:30,116.64,122.86,112.94,118.39,221603
2008-04-15 00:00:00+05:30,117.51,123.39,115.62,118.97,580460
2008-04-16 00:00:00+05:30,121.2,122.95,117.61,118.19,388220
2008-04-17 00:00:00+05:30,119.99,123.34,117.66,121.35,168476
2008-04-21 00:00:00+05:30,123.29,127.18,117.85,119.16,561625
2008-04-22 00:00:00+05:30,120.14,121.45,115.57,116.34,371279
2008-04-23 00:00:00+05:30,118.48,125.82,117.61,124.17,513647
2008-04-24 00:00:00+05:30,126.36,131.17,125.53,127.13,1060288
2008-04-25 00:00:00+05:30,127.52,133.94,121.5,124.56,772262
2008-04-28 00:00:00+05:30,125.87,128.01,121.98,123.2,139551
2008-04-29 00:00:00+05:30,121.4,125.87,119.55,123.34,116542
2008-04-30 00:00:00+05:30,123.93,126.84,121.5,123.59,97101
2008-05-02 00:00:00+05:30,124.41,131.41,121.64,128.83,256066
2008-05-05 00:00:00+05:30,145.7,145.7,122.47,126.65,350801
2008-05-06 00:00:00+05:30,127.33,129.47,123.25,124.02,82493
2008-05-07 00:00:00+05:30,124.36,127.23,121.59,122.57,83397
2008-05-08 00:00:00+05:30,121.5,121.5,118.82,120.14,61965
2008-05-09 00:00:00+05:30,119.16,121.4,114.21,115.96,78833
2008-05-12 00:00:00+05:30,122.47,126.21,110.8,113.62,61747
2008-05-13 00:00:00+05:30,115.52,120.43,111.78,113.87,89474
2008-05-14 00:00:00+05:30,113.23,118.05,113.23,116.15,68861
2008-05-15 00:00:00+05:30,119.36,119.36,116.64,117.22,20071
2008-05-16 00:00:00+05:30,116.15,118.43,116.15,118.14,31631
2008-05-20 00:00:00+05:30,117.17,121.4,116.93,119.31,94086
2008-05-21 00:00:00+05:30,116.78,121.98,116.78,121.35,60768
2008-05-22 00:00:00+05:30,119.55,131.75,119.55,127.57,812397
2008-05-23 00:00:00+05:30,129.27,132.67,124.51,127.33,929050
2008-05-26 00:00:00+05:30,124.9,124.9,119.6,121.5,48794
2008-05-27 00:00:00+05:30,121.11,122.95,117.71,118.43,28018
2008-05-28 00:00:00+05:30,121.4,121.4,113.72,117.03,50832
2008-05-29 00:00:00+05:30,117.17,119.36,110.8,111.97,100378
2008-05-30 00:00:00+05:30,118.48,118.48,110.37,111.73,64490
2008-06-02 00:00:00+05:30,114.69,114.69,106.92,107.65,24231
2008-06-03 00:00:00+05:30,105.94,107.69,102.06,104.92,19032
2008-06-04 00:00:00+05:30,106.92,106.92,97.2,98.56,47577
2008-06-05 00:00:00+05:30,94.52,100.11,93.36,97.93,32574
2008-06-06 00:00:00+05:30,101.08,101.08,94.28,95.74,30081
2008-06-09 00:00:00+05:30,91.37,93.31,86.55,88.45,29301
2008-06-10 00:00:00+05:30,87.57,90.15,84.56,86.65,24493
2008-06-11 00:00:00+05:30,87.48,90.34,85.78,89.18,17883
2008-06-12 00:00:00+05:30,87.38,90.88,81.84,90.0,34618
2008-06-13 00:00:00+05:30,89.42,94.09,89.42,91.75,27217
2008-06-16 00:00:00+05:30,92.34,95.25,92.34,94.38,20169
2008-06-17 00:00:00+05:30,95.74,97.2,93.89,96.81,18529
2008-06-18 00:00:00+05:30,97.2,113.28,97.2,102.15,696682
2008-06-19 00:00:00+05:30,98.17,103.03,98.17,100.36,89223
2008-06-20 00:00:00+05:30,100.89,102.74,93.11,94.96,69987
2008-06-23 00:00:00+05:30,90.39,94.28,87.67,90.25,50642
2008-06-24 00:00:00+05:30,90.39,92.09,83.78,85.29,31800
2008-06-25 00:00:00+05:30,86.12,86.12,80.38,83.44,141255
2008-06-26 00:00:00+05:30,84.8,89.03,84.56,88.45,135480
2008-06-27 00:00:00+05:30,83.1,87.38,79.7,80.72,454358
2008-06-30 00:00:00+05:30,82.13,90.39,81.16,88.35,197524
2008-07-01 00:00:00+05:30,87.48,91.37,86.99,88.94,99531
2008-07-02 00:00:00+05:30,87.82,95.16,87.82,92.39,308523
2008-07-03 00:00:00+05:30,89.57,98.17,88.94,95.3,441271
2008-07-04 00:00:00+05:30,93.6,102.06,93.31,97.63,37303
2008-07-07 00:00:00+05:30,96.23,102.93,96.23,101.62,21320
2008-07-08 00:00:00+05:30,100.11,100.6,95.74,97.73,19422
2008-07-09 00:00:00+05:30,99.68,105.75,99.14,100.7,11302
2008-07-10 00:00:00+05:30,98.17,101.77,98.17,98.66,16889
2008-07-11 00:00:00+05:30,101.96,101.96,95.88,97.2,357325
2008-07-14 00:00:00+05:30,104.97,104.97,95.25,96.27,9369
2008-07-15 00:00:00+05:30,93.31,97.2,93.31,96.27,104513
2008-07-16 00:00:00+05:30,102.06,102.06,95.25,97.25,24309
2008-07-17 00:00:00+05:30,101.04,101.04,95.25,96.32,5696
2008-07-18 00:00:00+05:30,100.06,100.06,96.18,96.32,20369
2008-07-21 00:00:00+05:30,104.97,104.97,96.23,96.91,6461
2008-07-22 00:00:00+05:30,96.32,104.97,96.32,103.47,20690
2008-07-23 00:00:00+05:30,110.76,111.78,101.18,104.1,34607
2008-07-24 00:00:00+05:30,103.03,106.92,100.36,101.57,14318
2008-07-25 00:00:00+05:30,97.68,102.06,97.68,100.02,5493
2008-07-28 00:00:00+05:30,101.08,102.06,97.44,98.46,13428
2008-07-29 00:00:00+05:30,96.23,97.44,96.13,96.71,13194
2008-07-30 00:00:00+05:30,96.47,100.11,96.32,97.0,7812
2008-07-31 00:00:00+05:30,95.25,101.08,95.25,99.14,486774
2008-08-01 00:00:00+05:30,98.12,98.61,95.25,96.18,11985
2008-08-04 00:00:00+05:30,95.2,98.8,95.2,96.86,7734
2008-08-05 00:00:00+05:30,102.06,102.06,96.71,98.27,6535
2008-08-06 00:00:00+05:30,99.14,101.08,96.71,98.66,531832
2008-08-07 00:00:00+05:30,100.99,111.58,99.14,107.16,937346
2008-08-08 00:00:00+05:30,108.86,114.69,107.45,107.94,819074
2008-08-11 00:00:00+05:30,111.78,113.33,109.25,109.78,117664
2008-08-12 00:00:00+05:30,111.58,111.58,104.49,106.29,54327
2008-08-13 00:00:00+05:30,104.97,106.82,102.35,103.71,13752
2008-08-14 00:00:00+05:30,103.08,105.75,97.2,99.14,36724
2008-08-18 00:00:00+05:30,100.11,101.08,96.23,97.05,13729
2008-08-19 00:00:00+05:30,95.74,99.92,95.25,97.78,18827
2008-08-20 00:00:00+05:30,100.11,100.11,97.2,97.29,11349
2008-08-21 00:00:00+05:30,98.61,99.14,97.2,97.97,32856
2008-08-22 00:00:00+05:30,96.47,98.02,95.98,97.39,10684
2008-08-25 00:00:00+05:30,97.78,99.82,97.25,97.78,9736
2008-08-26 00:00:00+05:30,97.25,98.8,97.25,98.31,5341
2008-08-27 00:00:00+05:30,97.88,108.86,97.88,100.99,113050
2008-08-28 00:00:00+05:30,104.97,104.97,94.96,97.93,63235
2008-08-29 00:00:00+05:30,101.86,107.89,99.82,104.24,38580
2008-09-01 00:00:00+05:30,104.0,107.6,102.06,105.65,42903
2008-09-02 00:00:00+05:30,107.79,107.79,104.24,105.8,17529
2008-09-04 00:00:00+05:30,107.06,109.78,105.12,109.4,58063
2008-09-05 00:00:00+05:30,109.74,111.78,106.92,110.61,34046
