stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
JWL,314.2,0.012916918939813607,2426.0192432197778,2184.40085902707,True,False,0,15.82360411144358,126,39589.2,39589.2
IRFC,74.85,0.01228816907226009,2058.5941969611595,1766.174220386693,True,True,1,3.0863938482923916,648,48502.799999999996,88092.0
BSE,1401.5,0.011149695363104168,1523.9131281365992,1457.3690350387694,True,False,0,49.40159814754127,40,56060.0,144152.0
HBLPOWER,290.95,0.01051604032133186,1286.0042779943042,1146.8219719063204,True,False,0,11.764866482501601,169,49170.549999999996,193322.55
MAZDOCK,2150.55,0.009991490598994162,1115.6605076238543,936.5253671001807,True,True,1,92.82871218571847,21,45161.55,238484.09999999998
COCHINSHIP,536.15,0.009532955072238654,983.9954169099112,894.134329827324,True,True,1,23.46827462646105,85,45572.75,284056.85
KALYANKJIL,258.15,0.009613843654349698,1006.1392735158199,886.867594802789,True,False,0,9.922301830908252,201,51888.149999999994,335945.0
HSCL,247.25,0.009566019310725529,992.9929233866807,831.3802268667191,True,False,0,10.35859429849395,193,47719.25,383664.25
ANANDRATHI,1819.65,0.009059657885709284,863.030089999531,808.6175402441878,True,False,0,45.0303280390113,44,80064.6,463728.85
SUZLON,29.1,0.009077226321423942,867.2691253945402,803.6097074177716,True,False,0,1.0262861788381203,1948,56686.8,520415.64999999997
TITAGARH,770.45,0.009154810464489724,886.2134403412435,796.1475763140945,True,False,0,35.28579748450766,56,43145.200000000004,563560.85
SJVN,72.65,0.008928223642097518,831.9005439696134,786.7955481511752,True,True,1,3.3208861892680788,602,43735.3,607296.15
RECLTD,285.5,0.008546088098358608,746.99281401953,709.8045911929022,True,False,0,8.594686005781309,232,66236.0,673532.15
MMTC,59.0,0.009007413790413714,850.5337164137106,702.6690162702126,True,True,2,2.555229171831542,782,46138.0,719670.15
APARINDS,5438.4,0.008445694195981268,725.9991421684233,694.6880663444371,True,False,0,191.13786350736743,10,54384.0,774054.15
J&KBANK,114.0,0.008548319828415215,747.4655107039196,692.9769631804133,True,False,0,4.147191872670307,482,54948.0,829002.15
GLAND,1671.5,0.00834964338132882,706.4009144606997,647.0370325915452,True,False,0,59.40625948003484,33,55159.5,884161.65
RAILTEL,218.95,0.008363533163977501,709.2059651926036,646.0345736802248,True,False,0,10.116985537629727,197,43133.149999999994,927294.8
JYOTHYLAB,360.6,0.00818530551727896,673.9417135845747,616.540636065146,True,True,1,13.675954469417686,146,52647.600000000006,979942.4
IRCON,141.55,0.007752259994049374,594.529879634281,523.7380701776923,True,False,0,6.279667188608769,318,45012.9,1024955.3
RKFORGE,652.5,0.007514283354174711,554.4145535225823,491.6045637982786,True,False,0,28.027655776096665,71,46327.5,1071282.8
GMDCLTD,329.55,0.00792313141981143,624.841522235901,490.3712772061811,True,False,0,11.91612637397045,167,55034.85,1126317.6500000001
SAMMAANCAP,172.05,0.0074047504105790056,536.73769478078,464.1240191420435,True,False,0,8.443136871287956,236,40603.8,1166921.4500000002
MAPMYINDIA,2213.45,0.00692112408977751,464.22392815298144,433.0356212313008,True,False,0,57.00760575017591,35,77470.75,1244392.2000000002
CENTRALBK,49.95,0.007130769082561846,494.5842706980434,416.48027561865035,True,False,0,1.935938429731297,1033,51598.350000000006,1295990.5500000003
IOB,46.25,0.007188917449153061,503.29092814331557,399.89836587242087,True,True,1,1.7778222655781928,1124,51985.0,1347975.5500000003
BEML,2332.7,0.0067881992197651635,445.782197743503,396.14989527765596,True,False,0,88.36960385451967,22,51319.399999999994,1399294.9500000002
GRSE,816.75,0.0067243005364268586,437.13277655183987,379.33041632194164,True,True,1,37.590455990495904,53,43287.75,1442582.7000000002
MAHABANK,48.55,0.006505769536819804,408.5749353881181,373.4347140975751,True,False,0,1.707362613066844,1171,56852.049999999996,1499434.7500000002
JSWENERGY,419.65,0.006362445551753226,390.67479379595824,356.57204151618123,True,False,0,15.542891769881528,128,53715.2,1553149.9500000002
JSL,476.45,0.006109769945557634,360.63808628136843,339.67829136196,True,False,0,16.87329627780942,118,56221.1,1609371.0500000003
RTNINDIA,58.35,0.006405695208849146,396.0089585727199,326.83974259044936,True,True,1,2.8070226381847814,712,41545.200000000004,1650916.2500000002
BHEL,128.9,0.00604674641866469,353.437204166468,311.680539088276,True,False,0,4.650128299256829,430,55427.0,1706343.2500000002
POLYCAB,5259.25,0.005984397234987126,346.42414360218254,305.51580307232865,True,False,0,125.91893339826137,15,78888.75,1785232.0000000002
INDIANB,426.05,0.00580680195121003,327.0370056634105,305.28400588192386,True,False,0,13.313347873045311,150,63907.5,1849139.5000000002
BSOFT,512.7,0.005869496490476854,333.7829564258895,302.090336702484,True,False,0,13.010171698398297,153,78443.1,1927582.6000000003
PFC,246.3,0.005716748734748035,317.5304057050428,299.6116113331042,True,False,0,7.466468296123126,267,65762.1,1993344.7000000004
ESCORTS,3194.2,0.005720838284121469,317.9575017989142,295.9622081663767,True,False,0,81.54152758981479,24,76660.79999999999,2070005.5000000005
PRAJIND,578.4,0.005674579909315714,313.15183446024616,281.3734848783647,True,False,0,18.62396695375604,107,61888.799999999996,2131894.3000000003
ITI,192.0,0.006666227705416971,429.3909063357087,272.1540306391929,True,True,1,7.005774198313305,285,54720.0,2186614.3000000003
LINDEINDIA,5998.4,0.005671712958370889,312.8558190450769,270.4021399192754,True,False,0,171.49103297062794,11,65982.4,2252596.7
GMRINFRA,61.6,0.0055893374056266865,304.4404623445609,269.9748253673151,True,False,0,1.808214962069394,1106,68129.6,2320726.3000000003
VARROC,498.3,0.00555439325087207,300.9226430936251,267.3546350615873,True,False,0,17.630558263615534,113,56307.9,2377034.2
SUNTECK,453.05,0.005564671178485557,301.9541311972092,260.0615514570762,True,False,0,12.824762542195275,155,70222.75,2447256.95
VAIBHAVGBL,426.45,0.005417325404790515,287.416963150221,257.12958594877654,True,False,0,15.797764508378195,126,53732.7,2500989.6500000004
SUPREMEIND,3925.0,0.005606667313436574,306.19649255977174,252.737561765776,True,False,0,146.77713899807165,13,51025.0,2552014.6500000004
IDEA,10.95,0.005637767958734703,309.367045627192,239.98856844072256,True,False,0,0.5174450595593094,3865,42321.75,2594336.4000000004
SCHNEIDER,354.65,0.005122412611052311,259.8809703105755,239.70198491928397,True,False,0,13.173991117423235,151,53552.149999999994,2647888.5500000003
UCOBANK,43.2,0.005498117974333147,295.32162716552654,224.0820001947537,True,False,0,1.657568397415565,1206,52099.200000000004,2699987.7500000005
GPIL,603.6,0.005409469745748356,286.65685589504193,223.57345413928172,True,False,0,20.666904007989263,96,57945.600000000006,2757933.3500000006
ZEEL,260.65,0.005396964282362664,285.4499127624449,223.1833636296403,True,False,0,9.320342614738324,214,55779.1,2813712.4500000007
WELCORP,391.05,0.004970611239492925,246.47927203067658,222.6319047886005,True,False,0,12.34129288509557,162,63350.1,2877062.5500000007
HINDCOPPER,154.85,0.005112084575654148,258.9529530504072,221.8890112493593,True,False,0,5.926410775620456,337,52184.45,2929247.000000001
ADANIPOWER,364.3,0.005497629507670637,295.27335475407006,220.44180148446395,True,False,0,14.004412502478603,142,51730.6,2980977.600000001
ACE,711.9,0.0057995835509396,326.2670695764152,216.2053814922645,True,False,0,28.702261689424116,69,49121.1,3030098.700000001
UJJIVANSFB,60.1,0.004877706919882723,238.52465168838606,214.94683279182874,True,False,0,1.6177085825112867,1236,74283.6,3104382.300000001
PNB,76.75,0.0049647919367839825,245.97557157610726,214.76792794000085,True,False,0,2.051381292495049,974,74754.5,3179136.800000001
BLS,243.55,0.005231508498459935,269.83143124786125,213.90771669673137,True,False,0,9.101890791009396,219,53337.450000000004,3232474.2500000014
NBCC,61.05,0.005121181784997442,259.77024962746316,213.40983964264274,True,False,0,2.2145119493269014,903,55128.149999999994,3287602.4000000013
BANKINDIA,108.55,0.004841729947568869,235.49353043757696,211.20207616277244,True,False,0,3.25901154402282,613,66541.15,3354143.550000001
ZOMATO,104.45,0.004758408646088036,228.57737400960997,210.96121161959738,True,False,0,3.283051357231389,609,63610.05,3417753.600000001
AMBER,2920.0,0.004867045546774386,237.6235686651201,209.95566239172624,True,False,0,96.69128302368863,20,58400.0,3476153.600000001
