stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
ANURAS,1219.8,0.009461426574474045,964.7835623042643,876.6946735205692,True,False,0,35.26166198223533,56,68308.8,68308.8
FINCABLES,843.25,0.00668788021405621,432.264336734604,375.22289375575764,True,False,0,28.97019178127186,69,58184.25,126493.05
TITAGARH,346.25,0.006758415723390573,441.7334641025063,373.5049057256504,True,False,0,13.609761623526166,146,50552.5,177045.55
JBMA,793.0,0.00615088127917867,365.3968608478343,313.78262132700405,True,False,0,29.940375296431235,66,52338.0,229383.55
APARINDS,2751.5,0.006108737010310912,360.51914930998015,279.7125715659374,True,True,1,125.93926948741095,15,41272.5,270656.05
SONATSOFTW,487.93,0.005422976297884545,287.96466289362235,253.81416807536007,True,False,0,16.7384857722497,119,58063.67,328719.72
OLECTRA,695.3,0.0057238132522285864,318.2684699841376,224.02210078660008,True,True,2,30.036778846066106,66,45889.799999999996,374609.51999999996
GLENMARK,591.4,0.005117874829168986,259.4729364635931,220.1091315696578,True,False,0,13.424579915190781,148,87527.2,462136.72
CYIENT,1309.65,0.0049224415064759285,242.33184122425163,218.98842845457514,True,False,0,39.199282104657826,51,66792.15000000001,528928.87
AUROPHARMA,614.85,0.005011135013190297,250.0072747563791,218.40164648870223,True,False,0,14.873049043205256,134,82389.90000000001,611318.77
RVNL,115.85,0.006472988529651053,404.42406767220183,189.05554431575771,True,True,1,5.2520306076937135,380,44023.0,655341.77
TRITURBINE,400.05,0.004485209584331373,206.88484578880568,178.7439567105885,True,False,0,15.756090117333143,126,50406.3,705748.0700000001
MAHSEAMLES,437.8,0.004530156137906865,210.3526465535469,177.15738710830956,True,False,0,14.13520069150728,141,61729.8,767477.8700000001
JINDALSAW,196.7,0.00473673971380705,226.80220638262233,174.58355223289408,True,False,0,7.049765055286233,283,55666.1,823143.9700000001
SAFARI,2669.9,0.004322611951561284,194.66030190856026,171.0330550800161,True,False,0,96.93452285703297,20,53398.0,876541.9700000001
ACE,462.75,0.004107946674986462,179.26379997828724,163.53318872988828,True,False,0,14.375637693036904,139,64322.25,940864.2200000001
EQUITASBNK,84.4,0.00441878702371374,201.83090456909335,160.72670086981745,True,False,0,3.0644662002258434,652,55028.8,995893.0200000001
ZENSARTECH,376.4,0.004496680150701886,207.76614455729953,153.70043701406172,True,False,0,11.578565303230828,172,64740.799999999996,1060633.82
CHENNPETRO,393.8,0.00443719115278162,203.2228380099847,139.90508233588136,True,False,0,11.447919444417003,174,68521.2,1129155.02
CHOLAFIN,1049.7,0.004117897783507437,179.95941097698324,133.76571789895638,True,False,0,21.548539396079637,92,96572.40000000001,1225727.42
RKFORGE,370.1,0.0036520701617425754,149.18303990316835,116.55162176143027,True,False,0,11.832087784105962,169,62546.9,1288274.3199999998
VBL,850.98,0.0033051801938276436,128.48378258483018,115.81628520529425,True,False,0,22.58166832636479,88,74886.24,1363160.5599999998
GLS,552.95,0.004021742928903906,173.3097912244289,114.93177838439898,True,False,0,14.755835259307865,135,74648.25,1437808.8099999998
NCC,113.55,0.0035765533653356386,144.522792962879,114.25828979227192,True,False,0,3.9468178706985846,506,57456.299999999996,1495265.1099999999
ABB,4004.75,0.0033372765520854257,130.32453221372813,106.71324038182685,True,False,0,83.30313446826487,24,96114.0,1591379.1099999999
INDIAMART,2779.95,0.003084359002040271,116.2121143049458,100.22631997632239,True,False,0,69.51622343066205,28,77838.59999999999,1669217.71
USHAMART,226.8,0.0032680044091821926,126.37010403257527,96.98090062563651,True,False,0,8.337790859117742,239,54205.200000000004,1723422.91
MINDACORP,283.85,0.0039300862802254385,167.11833328567124,95.43910877276528,True,False,0,10.078928491170725,198,56202.3,1779625.21
KEI,2001.75,0.0031291468998555553,118.64664005161157,94.89746906861582,True,False,0,61.02474006079893,32,64056.0,1843681.21
WELSPUNLIV,92.7,0.003935471586271291,167.4782039768373,93.15453724140413,True,False,0,3.1732185624587244,630,58401.0,1902082.21
KSB,439.61,0.0029577099647914375,109.47359163865671,92.5163733465004,True,False,0,13.047530029921191,153,67260.33,1969342.54
IRCON,81.35,0.004246717811071532,189.1222585888407,89.48474562873716,True,False,0,3.3370680873020624,599,48728.649999999994,2018071.19
ELECON,290.43,0.003625998772961823,147.5641843829542,89.18986991346263,True,False,0,8.948027904236538,223,64765.89,2082837.0799999998
KPITTECH,1006.8,0.0030696877247641846,115.42053989845935,86.96611745878356,True,False,0,32.96535602894017,60,60408.0,2143245.08
CERA,7581.65,0.003105424229052205,117.35375710465914,86.80335636004881,True,False,0,209.40042413754824,9,68234.84999999999,2211479.93
HAL,1510.1,0.002750638374950628,98.90548849563545,82.93965335092595,True,False,0,37.499745834487356,53,80035.29999999999,2291515.23
BAJAJ-AUTO,4615.95,0.0027675409584330154,99.7477709921888,81.25068336466943,True,False,0,75.12355063831,26,120014.7,2411529.93
ITC,443.6,0.002628502568229987,92.92390335990561,78.34313933496587,True,False,0,7.2315219952558865,276,122433.6,2533963.5300000003
DLF,478.1,0.0031239268883506968,118.36149165767065,77.70524987111189,True,False,0,10.595646137747185,188,89882.8,2623846.33
MGL,1035.3,0.0025449234438497835,88.93462333715392,76.7093687459535,True,False,0,25.46401359917298,78,80753.4,2704599.73
TRENT,1530.2,0.002418862392957498,83.07314715862401,70.77939788716418,True,False,0,34.08125175150441,58,88751.6,2793351.33
