stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
OFSS,7602.75,0.00984669414057875,1072.4416353551283,897.5215582422484,True,True,1,283.2047809624675,7,53219.25,53219.25
SCHNEIDER,718.4,0.008887872638722509,822.5470207964096,758.5822936342521,True,False,0,33.71922842220911,59,42385.6,95604.85
EIHOTEL,453.35,0.008804005709633533,803.4055922222949,740.0025744375495,True,True,1,20.34826523274488,98,44428.3,140033.15000000002
OIL,399.9,0.008408038820144204,718.2598007649698,640.3751125353756,True,False,0,19.416649114224832,103,41189.7,181222.85000000003
ACE,1415.0,0.008112422906037585,659.9676848920584,603.45399646296,True,False,0,77.28476145962273,25,35375.0,216597.85000000003
KPIL,1206.4,0.007428721593966129,540.5649904399874,515.9669966621849,True,False,0,46.00336561082077,43,51875.200000000004,268473.05000000005
TATAINVEST,6833.35,0.008219910533971836,680.6663262894193,499.08143500815,True,True,1,355.7167630879692,5,34166.75,302639.80000000005
MRPL,227.0,0.008076439704196579,653.1618252169412,498.3956477520335,True,True,1,13.427951528193015,148,33596.0,336235.80000000005
HUDCO,194.9,0.008103170090437428,658.2117563727977,482.0135643734077,True,True,1,11.60937533254101,172,33522.8,369758.60000000003
CUMMINSIND,3038.25,0.006231592433270053,374.88292230969813,352.4817425425389,True,False,0,77.7334600892482,25,75956.25,445714.85000000003
POLICYBZR,1197.45,0.006012142094660346,349.5314012525823,326.1905107240205,True,False,0,53.9401918275657,37,44305.65,490020.50000000006
GODFRYPHLP,3058.7,0.006049573456313967,353.7577884530666,315.47979703985243,True,False,0,141.01023605606312,14,42821.799999999996,532842.3
ANANDRATHI,4171.2,0.006021179505124184,350.54819942020174,303.2610398503485,True,False,0,142.29813431691431,14,58396.799999999996,591239.1000000001
ZYDUSLIFE,922.15,0.005781756563993062,324.37153230742916,296.5471522678697,True,False,0,24.487774370557432,81,74694.15,665933.2500000001
INDUSTOWER,351.4,0.005939700694675958,341.46350694746303,290.92511217665,True,False,0,11.239985280874478,177,62197.799999999996,728131.0500000002
TORNTPOWER,1501.15,0.005787293544144626,324.95937325935114,283.3454144952636,True,False,0,64.98980749199579,30,45034.5,773165.5500000002
ZOMATO,189.2,0.005348187425736599,280.7781958277711,260.83906030968274,True,False,0,6.769357369419671,295,55814.0,828979.5500000002
NCC,242.5,0.005466722969790691,292.2309907793053,243.6365452867253,True,False,0,12.81631047384675,156,37830.0,866809.5500000002
THERMAX,4811.9,0.0053128150003689464,277.4257784876264,243.2928559095344,True,False,0,141.79621112237075,14,67366.59999999999,934176.1500000001
COCHINSHIP,1099.0,0.005414251480444661,287.11935490927283,220.44255942153313,True,True,1,44.54611688257316,44,48356.0,982532.1500000001
IRB,66.15,0.005994128327378103,347.51151437580853,217.4633951451361,True,False,0,3.214096051860866,622,41145.3,1023677.4500000002
BOSCHLTD,29787.0,0.004878879038494346,238.62386398492498,217.20639038661847,True,False,0,698.4352804268467,2,59574.0,1083251.4500000002
BLUESTARCO,1422.45,0.004894437697242101,239.9435621987411,214.6929824870293,True,False,0,45.74502219900086,43,61165.35,1144416.8000000003
PNB,128.25,0.00502034322127005,250.81393784416886,205.00143090383443,True,False,0,4.230770204457392,472,60534.0,1204950.8000000003
GPPL,204.8,0.004865285054224089,237.47500541621415,201.5094592834112,True,False,0,10.448380379991132,191,39116.8,1244067.6000000003
IOB,61.25,0.005802766891972127,326.606442964521,200.6121808883326,True,False,0,3.396255570562779,588,36015.0,1280082.6000000003
BAJAJ-AUTO,8804.5,0.004537448228539093,210.91894248851867,199.16716477902565,True,False,0,215.0526556742024,9,79240.5,1359323.1000000003
NATIONALUM,184.8,0.005205644952685873,267.44785747315376,195.16401245973472,True,False,0,7.452189452227052,268,49526.4,1408849.5000000002
INDHOTEL,597.05,0.004394998914813289,200.04123484415425,181.98367678820452,True,False,0,16.235552767008404,123,73437.15,1482286.6500000001
NBCC,124.1,0.006099686181115404,359.4783072740773,181.6510775411232,True,False,0,6.866470831607518,291,36113.1,1518399.7500000002
TRENT,4158.95,0.00449061528669085,207.29985818857645,171.46525435559832,True,False,0,118.95299687022282,16,66543.2,1584942.9500000002
TATAMOTORS,963.2,0.004287079022042153,192.05435771415708,171.43244909385655,True,False,0,23.62313165884357,84,80908.8,1665851.7500000002
POWERINDIA,8249.6,0.004336500913646082,195.68521168572465,170.81520305329764,True,False,0,268.7123470408705,7,57747.200000000004,1723598.9500000002
SIEMENS,5589.5,0.004202676969178461,185.95642191472987,165.46101286727244,True,False,0,137.68135785107756,14,78253.0,1801851.9500000002
CANBK,115.75,0.00434156526995557,196.05981259159742,164.14172576361184,True,False,0,3.335068810267264,599,69334.25,1871186.2000000002
INTELLECT,999.75,0.004333179615104131,195.43979887036312,157.05675254748596,True,False,0,46.78604691567886,42,41989.5,1913175.7000000002
MAHABANK,61.6,0.004355408530334517,197.08619589695454,152.98828723139425,True,False,0,2.6969670560031966,741,45645.6,1958821.3000000003
BHEL,254.55,0.004136762206819729,181.28284746704892,151.99996116200728,True,False,0,10.299579168794244,194,49382.700000000004,2008204.0000000002
DATAPATTNS,2795.3,0.004709046359129045,224.54745822876362,147.24669066462198,True,False,0,129.88666983434763,15,41929.5,2050133.5000000002
SOBHA,1536.21,0.004766769984676258,229.26492903844795,143.48980336226484,True,True,1,83.65131744952923,23,35332.83,2085466.3300000003
MOTILALOFS,558.0,0.00479228661562735,231.37207572321407,141.88638862092452,True,True,1,20.397165276038475,98,54684.0,2140150.33
BPCL,292.9,0.004441930567711373,203.5823256494498,139.25583021542863,True,False,0,10.45227945190822,191,55943.899999999994,2196094.23
ONGC,275.25,0.004104237514052516,179.0049614117867,138.7399994004381,True,False,0,8.090285940398292,247,67986.75,2264080.98
IOC,166.65,0.004409750826564228,201.14982326698407,128.335293746196,True,False,0,6.063020890376448,329,54827.85,2318908.83
OLECTRA,1754.25,0.0047217120402646634,225.57674059388498,126.61802961481392,True,False,0,90.86672594523618,22,38593.5,2357502.33
UCOBANK,53.5,0.0046901812485670115,223.02040613959412,125.20747158074018,True,False,0,2.9734180368561516,672,35952.0,2393454.33
ABB,6292.6,0.004151901707519885,182.34948520561275,124.39009607472437,True,False,0,167.82528233970967,11,69218.6,2462672.93
NHPC,87.15,0.0044783846787612176,206.3616772143859,124.15855714369766,True,False,0,4.457789989383784,448,39043.200000000004,2501716.1300000004
TRITURBINE,535.85,0.003952311220072814,168.60663635993603,121.1168149519023,True,True,1,23.90382741959125,83,44475.55,2546191.68
SUNPHARMA,1522.8,0.0034775079686096377,138.54242524611263,120.17699818852107,True,False,0,30.811408033844238,64,97459.2,2643650.8800000004
PETRONET,300.15,0.0037221890282165414,153.58965852437186,115.93071605653685,True,False,0,8.838487689289389,226,67833.9,2711484.7800000003
SJVN,124.2,0.004383700776506499,199.19495373965725,114.77378723245033,True,True,1,7.683908139434497,260,32292.0,2743776.7800000003
IRFC,141.0,0.005193359281245147,266.3210029674233,107.67107884580234,True,False,0,7.922237337553115,252,35532.0,2779308.7800000003
JSWENERGY,626.7,0.003598199019275623,145.84959359776363,107.42429512650261,True,False,0,20.8148670888258,96,60163.200000000004,2839471.9800000004
HINDCOPPER,364.1,0.004350106615653596,196.69267534022535,105.202731808522,True,False,0,14.48231196983612,138,50245.8,2889717.7800000003
GAIL,201.95,0.0033448463311592604,130.760821366112,104.45413696022113,True,False,0,6.292080145953041,317,64018.149999999994,2953735.93
VOLTAS,1300.55,0.003423861027541129,135.36451566503865,104.2477969205344,True,False,0,35.771624324738625,55,71530.25,3025266.18
