stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
JINDALSAW,141.25,0.007508650258359854,553.4936071765386,513.2423087176004,True,False,0,6.662637785957927,300,42375.0,42375.0
JSL,291.45,0.0062709732606367015,379.5813333691613,342.71484717080824,True,False,0,11.370774057437595,175,51003.75,93378.75
APARINDS,2328.75,0.005706944210542541,316.5082372089619,248.357485303493,True,True,1,109.53064332124245,18,41917.5,135296.25
USHAMART,210.3,0.005398157748718321,285.56493529670877,216.44607457191486,True,False,0,8.674908505062962,230,48369.0,183665.25
SONATSOFTW,411.5,0.004975087504970129,246.8672223622689,201.9486861618237,True,False,0,13.436783679917532,148,60902.0,244567.25
JBMA,618.9,0.004594658800798202,215.3978589644141,178.09886730910077,True,False,0,26.371638228106647,75,46417.5,290984.75
FINCABLES,788.0,0.004338849178778697,195.85884946739714,121.33949527306636,True,False,0,28.573930873015993,69,54372.0,345356.75
CIEINDIA,354.5,0.004029908710743133,173.86830815379085,117.58234487705158,True,False,0,17.054910267643418,117,41476.5,386833.25
OIL,167.2,0.0033007169340489046,128.2289791487873,109.03683853171187,True,False,0,5.478642718705905,365,61027.99999999999,447861.25
ZENSARTECH,265.4,0.0034142295409937476,134.79846987974034,87.18624596880895,True,False,0,10.460054609213786,191,50691.399999999994,498552.65
KPITTECH,886.05,0.0028509307395547016,103.95571172281043,73.76724729925992,True,False,0,29.10641217766537,68,60251.399999999994,558804.05
BLUESTARCO,714.35,0.0026953991052001266,96.17751974174628,73.33385637669562,True,False,0,20.645661972292018,96,68577.6,627381.65
LINDEINDIA,3969.85,0.002602053720775147,91.65245780345575,71.06391924716056,True,False,0,107.75216079574717,18,71457.3,698838.9500000001
ZYDUSLIFE,480.7,0.0023187486431707057,78.54797752923346,69.77511932358254,True,False,0,10.76334372334042,185,88929.5,787768.4500000001
SAFARI,1967.4,0.0025694733001315417,90.09776852930662,69.64745039222167,True,False,0,73.34338059644168,27,53119.8,840888.2500000001
PNBHOUSING,412.72,0.0032021129218758808,122.67168375690245,65.50672312360686,False,False,0,21.361983411105676,93,38382.96,879271.2100000001
CARBORUNIV,935.85,0.0023208426958606764,78.64147421863757,64.55928601363253,True,False,0,27.44572794852397,72,67381.2,946652.41
PERSISTENT,2162.4,0.0028716539189312515,105.01510630597654,64.20094202492047,True,False,0,68.38707297444583,29,62709.600000000006,1009362.01
TITAGARH,241.0,0.002871303027456746,104.99712258154182,62.43272525854478,True,False,0,10.904668417558868,183,44103.0,1053465.01
NCC,101.9,0.0025273404118392392,88.10593514538982,62.16373238256163,True,False,0,3.3365222633159295,599,61038.100000000006,1114503.11
CYIENT,1001.2,0.0022528158186789697,75.62905708443992,61.75540930468104,True,False,0,27.400809247868672,72,72086.40000000001,1186589.51
CHENNPETRO,242.9,0.0024611337340445854,85.01809285254353,59.38651276979451,True,False,0,9.649132453478574,207,50280.3,1236869.81
SIEMENS,3333.45,0.002087489963780753,68.51801818653671,56.7054282272504,True,False,0,72.77107032538886,27,90003.15,1326872.96
CERA,6243.0,0.0023830614711414255,81.44191116005769,54.21180608216866,True,False,0,202.59555445917368,9,56187.0,1383059.96
CUMMINSIND,1622.15,0.002177077032130141,72.33485989983102,49.93851234268435,True,False,0,39.57046694187995,50,81107.5,1464167.46
RECLTD,115.15,0.0021917511423194995,72.96823614952027,49.08643211919502,True,False,0,2.9986097245351235,666,76689.90000000001,1540857.3599999999
RKFORGE,273.0,0.0022555856085621617,75.75071309614569,48.945907997286994,True,False,0,11.331580235075867,176,48048.0,1588905.3599999999
GPPL,107.3,0.0022265685362431844,74.48038353459296,47.09607146831987,True,False,0,3.8330829657665206,521,55903.299999999996,1644808.66
EQUITASBNK,63.8,0.00260177757266073,91.63922714395696,45.81405918414874,True,False,0,2.886879079391735,692,44149.6,1688958.26
ITC,378.7,0.0019184783000514433,61.545972403613945,40.702717590491496,True,False,0,7.662144462699141,261,98840.7,1787798.96
ACE,377.35,0.0022838946688073934,76.99895935211131,39.98022979104556,True,False,0,14.734462646916974,135,50942.25,1838741.21
POLYCAB,2818.6,0.0019422803866998627,62.51012096032213,36.99358707880874,True,False,0,73.91689168382156,27,76102.2,1914843.41
RADICO,1193.2,0.0017875180590959901,56.34259182129679,35.639075582979046,True,False,0,38.02619504785159,52,62046.4,1976889.8099999998
GAIL,103.5,0.0016993372765960373,52.93370168135192,34.01917777812706,True,False,0,2.4465671883585505,817,84559.5,2061449.3099999998
INDIAMART,2488.43,0.001550049144578451,47.331105482051925,33.17164769146874,True,False,0,59.290461434272956,33,82118.18999999999,2143567.5
AEGISLOG,397.65,0.0015869907190011758,48.698068737431235,31.546620764196785,True,False,0,13.912042507922427,143,56863.95,2200431.45
CRISIL,3048.75,0.0016125191946960394,49.65011229192564,29.229785645538886,True,False,0,87.6426649070152,22,67072.5,2267503.95
PFC,118.52,0.001784135803964113,56.210450062932196,27.01415151401207,True,False,0,3.7977567343108403,526,62341.52,2329845.47
RATNAMANI,2067.75,0.0015597133103677492,47.68749389059457,26.363326429648552,True,False,0,81.06027512679204,24,49626.0,2379471.47
SUPREMEIND,2506.0,0.0015252434430002126,46.42026978197195,25.164157642294636,True,False,0,86.57352223559462,23,57638.0,2437109.47
APLAPOLLO,1208.95,0.0014709995182498375,44.44806996419723,24.87047481928003,True,False,0,42.8423322667767,46,55611.700000000004,2492721.1700000004
FACT,210.1,0.004100014953895371,178.71058800687533,23.551994084061096,False,True,1,16.262578182801736,122,25632.2,2518353.3700000006
ONGC,149.4,0.0011795508984255932,34.29755671109251,23.375589340153287,True,False,0,3.332613514131591,600,89640.0,2607993.3700000006
JWL,94.3,0.0020472160819238368,66.82981258352518,21.932931040255987,True,False,0,5.094489228100361,392,36965.6,2644958.9700000007
CGPOWER,288.75,0.0016272962199248243,50.20398059896478,21.205410294510205,True,False,0,10.129715550244182,197,56883.75,2701842.7200000007
CCL,558.2,0.0011596572241273845,33.6312969157754,21.037329369219673,True,False,0,18.430845391963775,108,60285.600000000006,2762128.3200000008
ZFCVINDIA,10122.2,0.0014195545663893462,42.602184592441276,20.300112053869917,True,False,0,253.5610904499193,7,70855.40000000001,2832983.7200000007
M&MFIN,220.5,0.001629286082915199,50.278720523200995,19.697684106314192,False,False,0,7.543145766378405,265,58432.5,2891416.2200000007
GODREJCP,951.2,0.0009937227120409686,28.20119476697347,18.83470288540651,True,False,0,19.610914418513904,101,96071.20000000001,2987487.420000001
PETRONET,223.9,0.0010024225009734173,28.480329041938823,18.336875086444653,True,False,0,4.811981943180458,415,92918.5,3080405.920000001
BOSCHLTD,18452.7,0.000953781044634221,26.927422553418733,16.295402564686803,True,False,0,377.7024409193707,5,92263.5,3172669.420000001
GPIL,345.2,0.001800360762322867,56.84536388557044,15.336884450966147,False,False,0,14.894581530272642,134,46256.799999999996,3218926.2200000007
SUNDRMFAST,984.5,0.0009366004694715831,26.38342014318422,15.106296260548095,True,False,0,26.17332548475332,76,74822.0,3293748.2200000007
KPRMILL,574.55,0.0014077191943333777,42.180870722952825,15.019334148727378,True,False,0,18.667963980317097,107,61476.85,3355225.0700000008
ABB,3346.7,0.0014759592089591898,44.62728548557799,14.986422221276769,True,False,0,85.70377198451735,23,76974.09999999999,3432199.170000001
