stock_name,prev_close,slope,annualized_return,adjusted_return,prev_sma_100_above,circuit_hitted,circuit_freq,prev_atr_20,no_of_shares,invested_amount,cumulative_invested_amount
INOXWIND,127.19,0.013095337419000888,2541.2420018000885,2296.3189275352406,True,False,0,5.844731618217567,342,43498.979999999996,43498.979999999996
PRESTIGE,1211.8,0.009339460126983935,932.806587427659,863.0629072157571,True,False,0,62.49492099290373,32,38777.6,82276.57999999999
SWANENERGY,686.9,0.009079845168670175,867.9026152699315,827.9294033331728,True,False,0,22.124124407633037,90,61821.0,144097.58
SOBHA,1376.68,0.009053985788702515,861.6654577462707,801.8174192312381,True,True,1,57.085339719196384,35,48183.8,192281.38
NLCINDIA,265.6,0.009001534191931167,849.1375536255141,778.5951687459129,True,False,0,11.112126364727747,179,47542.4,239823.78
HINDPETRO,325.9,0.008488069835173171,734.7962180125476,690.3372646812152,True,False,0,10.362250571255853,193,62898.7,302722.48
ADANIGREEN,1674.25,0.009083070715083666,868.6834337507015,677.1414300455459,True,True,1,66.48382222453066,30,50227.5,352949.98
HBLPOWER,530.75,0.008364545154602344,709.410718305143,666.7551745340007,True,False,0,19.940667628602203,100,53075.0,406024.98
HINDCOPPER,301.1,0.008781281669292066,798.2878865744183,649.0380090868802,True,False,0,10.205581566417726,195,58714.50000000001,464739.48
BDL,879.7,0.008353174688070607,707.1131410471949,629.6499982304277,True,False,0,29.26717821127282,68,59819.600000000006,524559.08
ATGL,999.25,0.009232618373478909,905.5850388767257,607.9143872878212,True,True,3,44.03377660271879,45,44966.25,569525.33
PFC,450.8,0.008127768402445053,662.8888049085217,593.1891352526468,True,False,0,14.280877097892978,140,63112.0,632637.33
RAILTEL,419.0,0.007990578949565218,637.1673409821659,592.4339377141305,True,False,0,17.60224715548123,113,47347.0,679984.33
IRFC,168.95,0.008902936049406977,826.0277467960325,576.755834809276,True,False,0,6.0954063387766535,328,55415.6,735399.9299999999
BHEL,233.8,0.007840479799490718,610.0178679608665,549.2314835627658,True,False,0,7.345270587780922,272,63593.600000000006,798993.5299999999
HUDCO,208.0,0.008440350654040151,724.8964386103712,510.2127991297151,True,True,1,6.9922658948206164,286,59488.0,858481.5299999999
NIACL,242.1,0.008057477222924273,649.599820691912,503.5189675994361,True,False,0,10.506076857307617,190,45999.0,904480.5299999999
BRIGADE,1032.1,0.007094761389354499,489.25588752697104,472.4625064339679,True,False,0,35.25089906228295,56,57797.59999999999,962278.1299999999
MOTILALOFS,442.46,0.007251805863342395,512.8508849784063,471.9520377786652,True,True,1,15.148107897525277,132,58404.719999999994,1020682.8499999999
RECLTD,496.9,0.007136572879609145,495.4476084849116,458.25075287131807,True,False,0,16.19465009368231,123,61118.7,1081801.5499999998
MRPL,191.6,0.007169794379917657,500.41361795182644,454.2154788240358,True,False,0,6.3677486868660855,314,60162.4,1141963.9499999997
NBCC,168.65,0.007468613638678233,546.9853140150785,448.38977925696105,True,False,0,4.27030384429986,468,78928.2,1220892.1499999997
IOC,162.9,0.006776718051193161,444.2178894743708,421.9581841329219,True,False,0,3.760273860071899,531,86499.90000000001,1307392.0499999996
